Altium Designer Pick and Place Locations
C:\Users\Timoti\OneDrive\WorkSpace\4-UpWork\ESP32_EMC_Update-HoldenKarau-TinyShuffle\Elektronic\P1\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15.01.22
Time:       18:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"B3","Wakeup Button","TopLayer","KMR221NGLFS","175.611","3126.288","180",""
"R18","1K","TopLayer","RES0603","1513.611","3419.173","180",""
"D6","ORANGE","TopLayer","LED","1634.296","3419.173","270",""
"U2","ADXL345BCCZ-RL","TopLayer","ADXL345BCCZRL","655.611","1420.288","0","Integrated Circuit"
"R15","100K","TopLayer","RES0603","882.138","2528.288","0",""
"R14","330K","TopLayer","RES0603","882.139","2588.288","180",""
"R13","100K","TopLayer","RES0603","768.949","2688.173","90",""
"R12","100K","TopLayer","RES0603","524.833","2658.642","180",""
"R11","4K7","TopLayer","RES0603","524.833","2712.642","180",""
"Q5","BSS48","TopLayer","SOT96P237X111-3N","876.304","2687.288","0",""
"Q4","2N7002,215","TopLayer","SOT96P237X111-3N","659.644","2687.288","0",""
"USB1","GT-USB-7010B","TopLayer","type_c","2057.528","3315.737","180",""
"C9","10u","TopLayer","0603_Capacitor","1248.481","2934.288","0",""
"C12","0.1uF","TopLayer","0603_Capacitor","1409.611","3087.288","90",""
"D3","0.96" i2c Olded Display","TopLayer","i2c_display","654.402","685.535","0","Header, 4-Pin"
"U4","Component_2","TopLayer","m.2","1872.548","333.265","180",""
"U8","SWARM_M138_mPCIe_2.005"_VHF","TopLayer","RF_VHF_JAE_MM60-52B1-B1-R850_MM60-EZH039-B5-R850_w_2005_mPCIe_card","1868.485","2297.417","180","SWARM M138 MODEM mPCIe 2.005" (50.925mm) x 1.18" (30mm)  Two part connector"
"B1","Pairing Button","TopLayer","KMR221NGLFS","175.611","3356.288","180",""
"B2","Reset Button","TopLayer","KMR221NGLFS","182.611","2895.288","0",""
"C1","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","468.291","1660.933","0","CAP CER 0.1UF 25V X7R 0603"
"C2","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","518.000","1580.000","0","CAP CER 0.1UF 25V X7R 0603"
"C4","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","1945.866","3056.102","180","CAP CER 0.1UF 25V X7R 0603"
"C5","100n","TopLayer","0603_Capacitor","524.611","1469.500","270",""
"C10","1u","TopLayer","0603_Capacitor","1150.611","2784.390","90",""
"C8","100n","TopLayer","0603_Capacitor","312.611","3354.319","90",""
"C7","10u","TopLayer","0603_Capacitor","480.965","2849.878","90",""
"D1","MBR120","TopLayer","SODFL3616X98N","1249.465","3021.288","0",""
"D2","ORANGE","TopLayer","LED","1634.296","3289.173","270",""
"D5","ORANGE","TopLayer","LED","1634.296","3159.173","270",""
"IC1","CP2104-F03-GMR","TopLayer","cp2104","2057.528","2934.548","180","CP2104 - USB to UART Bridge    VDD Output: 3.45V"
"Q1","MMBT2222ALT1G","TopLayer","SOT96P237X111-3N","2390.107","3014.075","0","Integrated Circuit"
"Q2","MMBT2222ALT1G","TopLayer","SOT96P237X111-3N","2391.178","2836.760","0","Integrated Circuit"
"R1","10k 0603","TopLayer","RES0603","2228.611","2925.288","270","Resistor"
"R2","10k 0603","TopLayer","RES0603","2499.768","2984.548","90","Resistor"
"R3","10k 0603","TopLayer","RES0603","2288.611","2925.288","90","Resistor"
"R4","10k 0603","TopLayer","RES0603","2499.768","2866.288","270","Resistor"
"R5","10K","TopLayer","RES0603","1346.611","2784.390","90",""
"R6","1K","TopLayer","RES0603","1513.611","3289.173","180",""
"R7","1K","TopLayer","RES0603","1513.611","3159.173","180",""
"R8","4k7 0603","TopLayer","RES0603","811.083","1499.288","180",""
"R9","4k7 0603","TopLayer","RES0603","685.138","1580.288","180",""
"S1","SS-12D11G5R (BAT Slide Switch)","TopLayer","SS12D11G5R","727.587","3220.036","0","Switch"
"T1","Battery Connector","TopLayer","Battery_Connector","1248.481","3286.483","0",""
"U1","ESP32-WROOM-32__16MB_","TopLayer","ESP32","792.504","2082.941","180","Integrated Circuit"
"U6","NOT GATE","TopLayer","SOT95P270X145-5N","1446.209","2949.500","90","Integrated Circuit"
"R16","10k 0603","TopLayer","RES0603","810.611","1443.288","180","Resistor"
"R17","10k 0603","TopLayer","RES0603","685.138","1261.288","180","Resistor"
