Altium Designer Pick and Place Locations
C:\Users\Timoti\OneDrive\WorkSpace\4-UpWork\ESP32_EMC_Update-HoldenKarau-TinyShuffle\Elektronic\P1\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15.01.22
Time:       18:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D5","ORANGE","TopLayer","LED","41.5111","80.2430","270",""
"IC1","CP2104-F03-GMR","TopLayer","cp2104","52.2612","74.5375","180","CP2104 - USB to UART Bridge    VDD Output: 3.45V"
"Q1","MMBT2222ALT1G","TopLayer","SOT96P237X111-3N","60.7087","76.5575","0","Integrated Circuit"
"Q2","MMBT2222ALT1G","TopLayer","SOT96P237X111-3N","60.7359","72.0537","0","Integrated Circuit"
"R1","10k 0603","TopLayer","RES0603","56.6067","74.3023","270","Resistor"
"R2","10k 0603","TopLayer","RES0603","63.4941","75.8075","90","Resistor"
"R3","10k 0603","TopLayer","RES0603","58.1307","74.3023","90","Resistor"
"R4","10k 0603","TopLayer","RES0603","63.4941","72.8037","270","Resistor"
"R5","10K","TopLayer","RES0603","34.2039","70.7235","90",""
"R6","1K","TopLayer","RES0603","38.4457","83.5450","180",""
"R7","1K","TopLayer","RES0603","38.4457","80.2430","180",""
"R8","4k7 0603","TopLayer","RES0603","20.6015","38.0819","180",""
"R9","4k7 0603","TopLayer","RES0603","17.4025","40.1393","180",""
"S1","SS-12D11G5R (BAT Slide Switch)","TopLayer","SS12D11G5R","18.4807","81.7889","0","Switch"
"T1","Battery Connector","TopLayer","Battery_Connector","31.7114","83.4767","0",""
"U1","ESP32-WROOM-32__16MB_","TopLayer","ESP32","20.1296","52.9067","180","Integrated Circuit"
"U6","NOT GATE","TopLayer","SOT95P270X145-5N","36.7337","74.9173","90","Integrated Circuit"
"R16","10k 0603","TopLayer","RES0603","20.5895","36.6595","180","Resistor"
"R17","10k 0603","TopLayer","RES0603","17.4025","32.0367","180","Resistor"
